Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
182,Vitamine și Minerale,"Avamys® spray naz., susp.27,5 mcg/doza 120 doze N1","Glaxo Group Ltd (prod.: Glaxo Wellcome Operations UK Ltd, Marea Britanie; GlaxoSmithKline Pharmaceut",Marea Britanie,"126,81"
183,Sănătate - Medicamente OTC,"Aviral Pau D""Arco caps. N30 Vitapharm","Vitapharm-Com SRL, IM",Republica Moldova,"202,68"
184,Sănătate - Medicamente OTC,Azax comp. film. 500mg N3 (Azitromicina),"Nobel Ilac Sanayii ve Ticaret AS (prod.: Nobelfarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"108,59"
185,Vitamine și Minerale,"Azeane Crema cu acid azelaic 15% 30ml (pigmentare,roseata) ACM",ACM Laboratoires,Franta,"170,39"
186,Sănătate - Medicamente OTC,Azibiot® comp. film. 500 mg N3 (Azitromicina),"KRKA d.d., Novo mesto",Slovenia,"62,45"
187,Vitamine și Minerale,Azimac pulb./susp. orala 200mg/5ml 30ml N1 (Azitromicina),GM Pharmaceuticals,Georgia,"104,48"
188,Vitamine și Minerale,Azimac pulb./susp. orala 200mg/5ml 30ml N1 (Azitromicina),GM Pharmaceuticals,Georgia,"101,94"
189,Sănătate - Medicamente OTC,Azimac® caps. 250 mg N3x2 (Azitromicina),GM Pharmaceuticals,Georgia,"46,9"
190,Sănătate - Medicamente OTC,Azimac® caps. 500 mg N3 (Azitromicina),GM Pharmaceuticals,Georgia,"78,19"
191,Vitamine și Minerale,Azinc Adulte caps. N60,Arcopharma,Franta,230
192,Mamă și Copil,Azinc Optimal Junior Capsuna(multivitamine) comp. N30,Arcopharma,Franta,"285,6"
193,Sănătate - Parafarmaceutice,Azopt® pic.oft.10 mg/5 ml,"Novartis Pharma AG (prod.: Alcon Cusi S.A., Spania; Alcon-Couvreur N.V., SA, Belgia)",Elvetia,"83,03"
194,Vitamine și Minerale,B Complex Forte caps. N30 (8 vitamine grupei B) Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"167,5"
195,Sănătate - Medicamente OTC,Bacoderm ung.20 mg/g15 g N1,Bilim Ilac Sanayi Ve Ticaret A.?.,Turcia,"52,41"
196,Sănătate - Medicamente OTC,Bacoderm ung.20 mg/g15 g N1,Bilim Ilac Sanayi Ve Ticaret A.?.,Turcia,52
197,Vitamine și Minerale,Bactopic ung.nazal 20 mg/g 3g N1,Kusum Healthcare Pvt.Ltd,India,66
198,Sănătate - Parafarmaceutice,Balsam Vigoarea ursului polar 250g,Crevil Cosmetics GMBH,Germania,"120,44"
199,Sănătate - Parafarmaceutice,Balsam-gel Живокость 100ml,Twins Tek,Rusia,"122,87"
200,Vitamine și Minerale,"Bandaj elastic auto-adeziv (pe ext.) 4,5mx6cm BS",Bastos Viegas,Portugalia,"68,08"
201,Vitamine și Minerale,"Bandaj elastic auto-adeziv (pe ext.) 4,5mx6cm BS",Bastos Viegas,Portugalia,"74,26"
202,Vitamine și Minerale,"Bandaj elastic auto-adeziv (pe ext.) 4,5mx8cm BS",Bastos Viegas,Portugalia,"80,46"
203,Vitamine și Minerale,Bandaj elastic medical 5mx12cm tesut (elast.redusa) BS,Bastos Viegas,Portugalia,"176,24"
204,Vitamine și Minerale,Bandaj elastic tubular 1.7mx5m N1 Medrul,Forans Eesti,Estonia,"20,16"
205,Vitamine și Minerale,Bandaj elastic tubular 2.3mx5m N3 Medrul,Forans Eesti,Estonia,"25,29"
206,Vitamine și Minerale,Bandaj elastic tubular 2mx5m N2 Medrul,Forans Eesti,Estonia,"21,21"
207,Vitamine și Minerale,Bandaj elastic tubular 2mx5m N4 Medrul,Forans Eesti,Estonia,"25,83"
208,Vitamine și Minerale,Bandaj elastic tubular 5.8mx5m N6 Medrul,Forans Eesti,Estonia,"46,31"
209,Sănătate - Medicamente OTC,Baneocin pulb. cutan. 250 UI + 5000 UI/g 10 g N1,"Sandoz GmbH (prod.: Montavit Pharmazeutische Fabrik GmbH, Austria)",Austria,"85,95"
210,Frumusețe și Igienă - Îngrijire Corp/Față,Bebicina ser fiziologic hipertonic 3% 4ml N24,Omega Pharma,Romania,"335,95"
211,Sănătate - Medicamente OTC,Benevron B sol. inj. 3ml N5,"World Medicine Limited (prod.: Biofarma Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"157,88"
212,Sănătate - Medicamente OTC,Benevron BF draj. N10x2,"World Medicine (prod.: Laboratoire Bailly-Creat, Franta)",Marea Britanie,"172,97"
213,Sănătate - Parafarmaceutice,Benzilbenzoat 20% ung. 30g (Letonia),"Grindeks SA (prod.: Uzina farmaceutica din Tallin SA, Estonia)",Estonia,"44,64"
214,Sănătate - Parafarmaceutice,Bepanthen ung. 5% 100g N1,"Bayer Consumer Care AG  (prod.: GP Grenzach Produktions GmbH, Germania)",Elvetia,"314,27"
215,Sănătate - Parafarmaceutice,Bepanthen® ung. 5% 30 g N1,"Bayer Consumer Care AG  (prod.: Bayer AG, Germania)",Elvetia,"169,24"
216,Sănătate - Medicamente OTC,Berlithion® caps.moi 600mg N10x3,"Berlin-Chemie AG (Menarini Group) (prod.: Hermes Arzneimittel GmbH, Germania)",Germania,"281,63"
217,Sănătate - Medicamente OTC,Berlithion® caps.moi 600mg N10x3,"Berlin-Chemie AG (Menarini Group) (prod.: Hermes Arzneimittel GmbH, Germania)",Germania,"278,68"
218,Sănătate - Parafarmaceutice,Berushi urechi Pharma Doct N4,EUROSIREL,Italia,"53,25"
219,Sănătate - Medicamente OTC,Betamax comp. 100mg N10x3,Grindeks SA,Letonia,"70,21"
220,Sănătate - Medicamente OTC,Betamax comp. 200mg N10x3,Grindeks SA,Letonia,"101,54"
221,Vitamine și Minerale,Betaserc comp. 24mg N20,"Solvay Pharmaceuticals BV (prod.: Solvay Pharmaceuticals BV, Olanda; Solvay Pharmaceuticals SA, Fran",Olanda,"103,34"
222,Vitamine și Minerale,Betaserc comp. 24mg N20,"Solvay Pharmaceuticals BV (prod.: Solvay Pharmaceuticals BV, Olanda; Solvay Pharmaceuticals SA, Fran",Olanda,"100,46"
223,Vitamine și Minerale,Betisoare de vata Ipek N100 (rezerva),Ipek SISa A.S.,Turcia,"26,16"
224,Sănătate - Medicamente OTC,Bicalutamid comp.50 mg N20x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"326,98"
225,Sănătate - Medicamente OTC,Bidop comp. 10mg N14x2 (Gedeon),"Gedeon Richter PLC (prod.: Gedeon Richter-Rus SAI, Rusia; Niche Generics Limited, Irlanda)",Ungaria,"52,54"
226,Sănătate - Medicamente OTC,"Bidop comp.2,5 mg N14x2 (Gedeon)",Gedeon Richter PLC,Ungaria,"29,27"
227,Sănătate - Medicamente OTC,Bileclar caps. 250mg N10x5,"Nobel Ilac Pazarlama ve Sanayii Ltd. Sti (prod.: Nobel Ilac Sanayii ve Ticaret AS, Turcia)",Turcia,"152,03"
228,Sănătate - Medicamente OTC,Bilobil caps. N60,"KRKA d.d., Novo mesto",Slovenia,"157,16"
229,Vitamine și Minerale,Bilobil Forte caps. N60,"KRKA d.d., Novo mesto",Slovenia,"228,38"
230,Vitamine și Minerale,Bilobil Forte caps. N60,"KRKA d.d., Novo mesto",Slovenia,"224,3"
231,Mamă și Copil,Bioderma ABCDerm Babysquam 40ml,BIODERMA,Franta,"308,11"
232,Dermato-Cosmetică,Bioderma Atoderm Crema 500ml,BIODERMA,Franta,457
233,Dermato-Cosmetică,Bioderma Atoderm Gel spumant 1000ml,BIODERMA,Franta,"548,07"
234,Dermato-Cosmetică,Bioderma Cicabio Lotiune 40ml,BIODERMA,Franta,"297,45"
235,Dermato-Cosmetică,Bioderma Cicabio Lotiune 40ml,BIODERMA,Franta,"434,24"
236,Dermato-Cosmetică,Bioderma Cicabio Lotiune 40ml,BIODERMA,Franta,"348,24"
237,Sănătate - Medicamente OTC,BioleVox Neuro comp. N30,Biovico,Polonia,"375,63"
238,Vitamine și Minerale,Bioslo ORS solutie orala pentru rehidratare banana 250ml (1+) ,Turkuaz,Turcia,"99,83"
239,Vitamine și Minerale,Bioslo ORS solutie orala pentru rehidratare banana 250ml (1+) ,Turkuaz,Turcia,"108,9"
240,Sănătate - Medicamente OTC,Bisacodil 10mg supp. N10 (FP),FarmaPrim SRL,Republica Moldova,"26,46"
241,Vitamine și Minerale,Bisacodil 5mg comp. enterosolubile N40 (Grindex),Grindeks SA,Letonia,"30,29"
242,Sănătate - Medicamente OTC,Biseptol comp. 120mg N20,"Polfa JSC, Pabianice",Polonia,"19,33"
243,Sănătate - Medicamente OTC,Biseptol comp. 480mg N28 Polfa/Adamed,"Adamed Pharma S.A., Polonia",Polonia,"63,33"
244,Sănătate - Medicamente OTC,Bisogamma-5 comp. 5mg N30,"Worwag Pharma GmbH&Co.KG (prod.: Artesan Pharma GmbH&Co.KG, Germania)",Germania,"32,44"
245,Frumusețe și Igienă - Îngrijire Corp/Față,Bitonic Rosa Spirit caps. N60,,Germania,355
246,Frumusețe și Igienă - Îngrijire Corp/Față,Bitonic Rosa Spirit caps. N60,,Germania,395
247,Frumusețe și Igienă - Îngrijire Corp/Față,Bitonic Terra Liver caps. N10,Lifecare Essentials,Germania,136
248,Sănătate - Medicamente OTC,Bixtonim Xylo pic. naz. 1mg/ml 10ml,"Biofarm SA, SC",Romania,"23,17"
249,Sănătate - Parafarmaceutice,Bixtonim Xylo spray naz. 0.05% 10ml,"Biofarm SA, SC",Romania,"39,3"
250,Sănătate - Medicamente OTC,"Bixtonim Xylo® Aroma spray naz.,sol.1 mg/ml 10ml N1","Biofarm SA, SC",Romania,"44,78"
251,Sănătate - Medicamente OTC,"Bixtonim Xylo® Aroma spray naz.,sol.1 mg/ml 10ml N1","Biofarm SA, SC",Romania,"45,14"
252,Sănătate - Parafarmaceutice,"Bixtonim-xylo spray naz. 0,1% 10ml","Biofarm SA, SC",Romania,"40,47"
253,Sănătate - Parafarmaceutice,"Bixtonim-xylo spray naz. 0,1% 10ml","Biofarm SA, SC",Romania,"40,56"
254,Sănătate - Medicamente OTC,Bonflor Boulardii caps. N10 Fiterman,Fiterman Pharma,Romania,"270,44"
255,Sănătate - Medicamente OTC,Bonflor plic. N10 Fiterman,Fiterman Pharma,Romania,"251,01"
256,Sănătate - Medicamente OTC,Botamin picaturi 30ml Pharmaris,Bion Corporation,Marea Britanie,"202,71"
257,Sănătate - Medicamente OTC,Botamin picaturi 30ml Pharmaris,Bion Corporation,Marea Britanie,"203,73"
258,Sănătate - Parafarmaceutice,Bratara Antitintari Sopirla,Crasota i zdorovie,Ucraina,"89,05"
259,Sănătate - Medicamente OTC,Brenax sol. inj. 1000 mg/4 ml  4 ml N5,GM Pharmaceuticals,Georgia,"254,12"
260,Vitamine și Minerale,Briu antireumatic mar.5 diam.100-110cm,Belpa-Med,Belarus,"370,17"
261,Vitamine și Minerale,Briu elastic post-operator L Ersamed,ERSA MED MEDIKAL ORTOPEDI,Turcia,"169,64"
262,Vitamine și Minerale,Briu elastic postoperator cu bumbac mar.2 diam.78-90cm (1703),Belpa-Med,Belarus,"310,62"
263,Vitamine și Minerale,Briu elastic postoperator cu bumbac mar.3 diam.90-102cm (1703),Belpa-Med,Belarus,"315,83"
264,Vitamine și Minerale,Briu elastic postoperator cu bumbac mar.4 diam.102-114cm (1703),Belpa-Med,Belarus,"385,17"
265,Vitamine și Minerale,Bromhexin draje 8mg N25 (Germania),Berlin-Chemie AG (Menarini Group),Germania,"34,59"
266,Sănătate - Medicamente OTC,Bromhexin sirop 4mg/5ml 60ml (Germania),Berlin-Chemie AG (Menarini Group),Germania,"30,87"
267,Sănătate - Medicamente OTC,Bronchipret® Sirop lichid oral 100ml,Bionorica SE,Germania,"116,13"
268,Sănătate - Medicamente OTC,Bronchipret® Sirop lichid oral 50ml,Bionorica SE,Germania,"74,07"
269,Sănătate - Medicamente OTC,Bronhoclean (Acetilcisteina) pulb./sol. orala 600 mg 3 g N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"36,75"
270,Sănătate - Medicamente OTC,Brufen® Rapid caps. moi 200mg N10,"Abbott Laboratories GmbH, Germania(PROD: Geltec Private Limited, India; )",Germania,"34,51"
271,Vitamine și Minerale,Calciu Lactic comp. 500 mg N10x2 ,"Biofarm SA, SC",Romania,"54,08"
272,Vitamine și Minerale,Calciu Lactic comp. 500 mg N10x2 ,"Biofarm SA, SC",Romania,"55,38"
273,Vitamine și Minerale,Calciu Max sirop 150ml Bioslo,Orzax Ilac ve Kimya San.Ve Tikaret A.S,Turcia,"250,47"
274,Vitamine și Minerale,Calciu-D3 Nycomed comp.masticab. 500mg+200UI N30 (menta) ,Acino Pharma AG,Elvetia,"67,28"
275,Vitamine și Minerale,Calciu-D3 Nycomed Forte comp.masticab.500mg+400UI N 120 (TVA 8%),Nycomed Pharma AS,Norvegia,"218,12"
276,Vitamine și Minerale,Calciu-D3 Nycomed Forte comp.masticab.500mg+400UI N 30 (TVA 8%),Nycomed Pharma AS,Norvegia,75
277,Vitamine și Minerale,Calciu-Farmaco comp. 500mg N10 ,"Farmaco SA, IM",Republica Moldova,"10,25"
278,Vitamine și Minerale,Calciu-Farmaco comp. 500mg N10 ,"Farmaco SA, IM",Republica Moldova,"90,45"
279,Sănătate - Medicamente OTC,Calmoplant SBA sirop 100ml N1 Depofarm Infomedica,Depofarm SRL,Republica Moldova,"155,57"
280,Sănătate - Medicamente OTC,Calmoplant SBA sirop 200ml N1 Depofarm Infomedica,Depofarm SRL,Republica Moldova,"254,04"
281,Sănătate - Medicamente OTC,Calmoplant SBA sirop 200ml N1 Depofarm Infomedica,Depofarm SRL,Republica Moldova,"281,3"
282,Sănătate - Parafarmaceutice,Camfor sol. alcoolica 10% 40ml Cojusna ,Farmacia Cojusna SRL,Republica Moldova,"15,08"
283,Sănătate - Parafarmaceutice,Camfor- ElaDum sol.uleioasa 10% 25 ml (Cojusna),Farmacia Cojusna SRL,Republica Moldova,"35,7"
284,Sănătate - Parafarmaceutice,Canephron® N draj.N20x3,Bionorica SE,Germania,"195,55"
285,Sănătate - Parafarmaceutice,Canephron® N draj.N20x3,Bionorica SE,Germania,"186,42"
286,Sănătate - Parafarmaceutice,Canephron® N draj.N20x3,Bionorica SE,Germania,"186,28"
287,Sănătate - Parafarmaceutice,Canephron® N lichid oral 100ml,"Bionorica SE (prod.: Bionorica SE, Germania; Dragenopharm Apotheker Puschl GmbH&Co.KG, Germania; Rot",Germania,"139,36"
288,Sănătate - Parafarmaceutice,Canephron® N lichid oral 100ml,"Bionorica SE (prod.: Bionorica SE, Germania; Dragenopharm Apotheker Puschl GmbH&Co.KG, Germania; Rot",Germania,"140,05"
289,Sănătate - Medicamente OTC,Canesten® crema 10 mg/g 30 g N1 (Clotrimazol),"Bayer S.R.L. (prod.: Kern Pharma S.L., Spania)",Romania,"93,87"
290,Sănătate - Medicamente OTC,Canesten® crema 10 mg/g 30 g N1 (Clotrimazol),"Bayer S.R.L. (prod.: Kern Pharma S.L., Spania)",Romania,"94,43"
291,Sănătate - Medicamente OTC,Canesten® crema 10 mg/g 30 g N1 (Clotrimazol),"Bayer S.R.L. (prod.: Kern Pharma S.L., Spania)",Romania,"95,42"
292,Sănătate - Medicamente OTC,Canesten® Gyn 3 comp. vag. 200 mg N3,"Bayer S.R.L. (prod.: Delpharm Gaillard , Franta; GP Grenzach Produktions GmbH, Germania)",Romania,"97,05"
293,Sănătate - Medicamente OTC,Captopril 25mg comp. N10x2 (KRKA),"KRKA d.d., Novo mesto",Slovenia,"40,63"
294,Sănătate - Medicamente OTC,Captopril 25mg comp. N10x2 (KRKA),"KRKA d.d., Novo mesto",Slovenia,"40,79"
295,Sănătate - Medicamente OTC,Captopril 50mg comp. N10x2 (KRKA),"KRKA d.d., Novo mesto",Slovenia,"58,62"
296,Sănătate - Medicamente OTC,Captopril 50mg comp. N10x2 (KRKA),"KRKA d.d., Novo mesto",Slovenia,"58,07"
297,Sănătate - Medicamente OTC,Carbactiv caps. 200mg N100 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"75,9"
298,Sănătate - Medicamente OTC,Carbodetox comp. 250mg N10 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"3,97"
299,Vitamine și Minerale,Carbune alb extra (Белый сорбент экстра) N20,Bioterra,Belorusia,"66,69"
300,Sănătate - Medicamente OTC,Cardiomagnyl comp.film. 75mg N100,"Takeda Pharma A/Sprod.: Takeda GmbH, Germania; Takeda Pharma A/S, Danemarca;Polonia",Danemarca,"65,58"
301,Sănătate - Parafarmaceutice,Caripain ultra gel 30ml,OOHTK AC-KOM,Rusia,"244,3"
302,Sănătate - Medicamente OTC,"Carsil®	drajeuri 22,5mg	N10x8 Sopharma ",Sopharma PLC,Bulgaria,"121,72"
303,Sănătate - Medicamente OTC,Cartan® sol. orala 100 mg/ml 10 ml N10 Pharmaris,Demo S.A. Pharmaceutical Industry,Grecia,"120,86"
304,Vitamine și Minerale,Cartigen forte comp. N15x2,Bioplus Life Sciences Pvt. Ltd,SUA,"461,14"
305,Sănătate - Medicamente OTC,Carvidil comp. 12.5mg N14x2,Grindeks SA,Letonia,"42,97"
306,Sănătate - Medicamente OTC,Carvidil comp. 25mg N14x2,Grindeks SA,Letonia,"56,22"
307,Sănătate - Medicamente OTC,Carvidil comp. 6.25mg N14x2,Grindeks SA,Letonia,"25,57"
308,Sănătate - Medicamente OTC,"Cataxol pic. oft., sol.0,15 mg/ml 15 ml	N1","World Medicine Limited (prod.: Biofarma Ilac Sanayii ve Ticaret AS, Turcia)",Georgia,"87,66"
309,Sănătate - Medicamente OTC,Catina supp. N10 (FP),FarmaPrim SRL,Republica Moldova,"35,22"
310,Vitamine și Minerale,Ceai Anghinare 50g Alevia,Alevia SRL,Romania,"55,3"
311,Sănătate - Plante Medicinale,Ceai Armurariu (srot) 100g,"OOO ""Ivan-da-Maria""",Rusia,"101,51"
312,Sănătate - Plante Medicinale,Ceai Armurariu (srot) 100g,"OOO ""Ivan-da-Maria""",Rusia,"97,94"
313,Sănătate - Plante Medicinale,Ceai Crusin scoarta 1g N20 Alevia,Alevia SRL,Romania,"50,41"
314,Sănătate - Plante Medicinale,Ceai Dentita 50g Depofarm ,Depofarm SRL,Republica Moldova,"44,38"
315,Vitamine și Minerale,"Ceai Diuretic 1,6g N20 Alevia",Alevia SRL,Romania,"59,35"
316,Sănătate - Plante Medicinale,Ceai Echinacea 20g Alevia,,Romania,"48,25"
317,Sănătate - Plante Medicinale,"Ceai Fares Renalex 1,5g N20",Laboratoarele Fares Bio Vital,Romania,"45,71"
318,Sănătate - Plante Medicinale,Ceai Fares Vezica biliara 50g,Laboratoarele Fares Bio Vital,Romania,"57,34"
319,Sănătate - Plante Medicinale,Ceai Fenicul 50g Alevia,Alevia SRL,Romania,"45,35"
320,Vitamine și Minerale,"Ceai Galbenele 1,3g N40 Alevia",Alevia SRL,Romania,"54,89"
321,Vitamine și Minerale,Ceai Ghimpe 50g Alevia,Alevia SRL,Romania,"51,68"
322,Vitamine și Minerale,"Ceai Hepatic 1,5g N20 Alevia",Alevia SRL,Romania,"51,98"
323,Vitamine și Minerale,"Ceai Hepatic 1,5g N40 Alevia",Alevia SRL,Romania,"72,87"
324,Sănătate - Plante Medicinale,"Ceai Melisa (roinita) 1,5g N20",,Ucraina,"45,86"
325,Sănătate - Plante Medicinale,"Ceai Musetel 1,3g N20 Alevia",Alevia SRL,Romania,"38,01"
326,Sănătate - Plante Medicinale,"Ceai Musetel 1,3g N40 Alevia",Alevia SRL,Romania,"62,18"
327,Sănătate - Plante Medicinale,Ceai Musetel flori 50g Depofarm,Depofarm SRL,Republica Moldova,"45,88"
328,Sănătate - Plante Medicinale,Ceai pentru slabit 50g Pharma Herb,Pharma Herb SRL,Republica Moldova,"56,84"
329,Sănătate - Plante Medicinale,Ceai Pufulita cu flori mici 60g Alevia,Alevia SRL,Romania,"59,36"
330,Sănătate - Plante Medicinale,Ceai Renal N20 Alevia,Alevia SRL,Romania,"59,16"
331,Sănătate - Plante Medicinale,Ceai Renal N20 Alevia,Alevia SRL,Romania,"57,03"
332,Sănătate - Plante Medicinale,"Ceai Sena 1,5 N20 Depofarm ",Depofarm SRL,Republica Moldova,"43,32"
333,Sănătate - Plante Medicinale,Ceai Stejar scoarta 100g Lectravi,Lectravi SAI,Ucraina,"63,74"
334,Sănătate - Plante Medicinale,Ceai Tei 1g N20 Alevia,Alevia SRL,Romania,"59,59"
335,Sănătate - Medicamente OTC,Cefalexin 250mg caps. N20 (Antibiotice),"Antibiotice SA, SC",Romania,"43,31"
336,Sănătate - Medicamente OTC,Cefecon-D 100mg  supp. N10 (3luni -3 ani),Nijfarm SAD,Rusia,"15,17"
337,Sănătate - Medicamente OTC,Cefecon-D 250mg supp. N10 (3-12 ani),Nijfarm SAD,Rusia,"18,24"
338,Sănătate - Medicamente OTC,Ceftinex pulb./susp. orala 125 mg/5 ml 100 ml N1,"Bilim Pharmaceuticals AS (prod.: Bilim Pharmaceuticals AS, Turcia; Idol Ilac Dolum Sanayii ve Ticare",Turcia,"135,28"
339,Sănătate - Medicamente OTC,"Cefuroxima Atb® pulb. p/u susp. inj. 1,5g N10 Antibiotice","Antibiotice SA, SC",Romania,"580,85"
340,Vitamine și Minerale,Celuloza de griu Очищающaя 250g,"AG Company, Moscova",Rusia,"44,52"
341,Sănătate - Medicamente OTC,Central-B caps.100mg + 25mg + 25mg N30 ,"Rotapharm Ilaclari Limited Sirketi (prod.: PharmaVision Sanayi ve Ticaret A.S., Turcia)",Marea Britanie,"116,86"
342,Sănătate - Medicamente OTC,Ceraxon® comp. film.500 mg N5x4,Ferrer Internacional SA,Spania,"321,28"
343,Sănătate - Parafarmaceutice,Cerebrolysin sol.inj. 10ml N5,EBEWE Pharma GmbH Nfg. KG,Austria,"598,82"
344,Sănătate - Parafarmaceutice,Cerebrolysin sol.inj. 5ml N5,EBEWE Pharma GmbH Nfg. KG,Austria,"408,26"
345,Sănătate - Medicamente OTC,Cerebrovital caps.N30 Nutrimed,Nutrimed TOB,Ucraina,234
346,Sănătate - Medicamente OTC,Cereglia caps. moi 400mg N10x3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"432,16"
347,Sănătate - Medicamente OTC,Cereglia caps. moi 400mg N10x3 KVZ,Uzina de vitamine din Kiev SAD,Ucraina,"390,84"
348,Vitamine și Minerale,Cerviron supp. vaginale 2g N5x2,Perfect Care Distribution,Romania,"193,1"
349,Mamă și Copil,Chicci Aspirator nazal Physioclean,Chicco,Italia,"277,23"
350,Mamă și Copil,Chicco Aparat cu ultrasunet antitintari,Artsana SpA,Italia,"308,22"
351,Mamă și Copil,Chicco Pudra copii 150g,Artsana SpA,Italia,"173,54"
352,Mamă și Copil,Chicco Pudra copii 150g,Artsana SpA,Italia,"156,2"
353,Mamă și Copil,Chicco Pudra copii 150g,Artsana SpA,Italia,"231,26"
354,Mamă și Copil,Chicco Sampon-gel copii Baby Moments 750ml,Chicco,Italia,"248,28"
355,Mamă și Copil,Chicco Sampon-gel de dus copii Baby 500ml,Chicco,Italia,"271,88"
356,Mamă și Copil,Chicco Sticluta Well Being 330ml (plastic)+tetina latex 4luni+,Chicco,Italia,"201,58"
357,Mamă și Copil,Chicco Sticluta Well Being 330ml (plastic)+tetina latex 4luni+,Chicco,Italia,"190,6"
358,Mamă și Copil,Chicco Sticluta Well Being 330ml (plastic)+tetina latex 4luni+,Chicco,Italia,"284,89"
359,Mamă și Copil,Chicco Suzeta silicon albastra 12luni+ N2 ,Chicco,Italia,"127,25"
360,Mamă și Copil,Chicco Ulei copii Baby Moments 200ml,Chicco,Italia,"187,62"
361,Vitamine și Minerale,Choliver draje N100 TVA 20%,Hau Giang Pharmaceutical JSC,Vietnam,"155,13"
362,Sănătate - Medicamente OTC,Choludexan susp. orala 250mg/5ml 100ml N1,"World Medicine Limited (prod.: PharmaVision Sanayi ve Ticaret A.S., Turcia)",Egipt,"192,12"
363,Sănătate - Parafarmaceutice,Cicaderm crema 40ml,Ivatherm,Franta,"288,81"
364,Sănătate - Medicamente OTC,Cinarizina comp. 25mg N50 Sopharma,Sopharma AD,Bulgaria,"17,19"
365,Sănătate - Medicamente OTC,Cinarizina comp. 25mg N50 Sopharma,Sopharma AD,Bulgaria,"16,89"
366,Vitamine și Minerale,Ciorap elastic compresiv (18-21mm) (0401) inaltimea 1 mar.5 Tonus,Tonus elast,Letonia,"517,41"
367,Sănătate - Medicamente OTC,Ciprinol comp. film. 500mg N10,"KRKA d.d., Novo mesto",Slovenia,"49,06"
368,Vitamine și Minerale,Ciprofloxacin pic.oft./otice 0.3% 5ml,"S.C. Rompharm Company S.R.L., România(PROD: S.C. Rompharm Company S.R.L., România; )",Romania,"26,02"
369,Sănătate - Medicamente OTC,Citicolin-BP comp.filmate. 500mg N30 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"493,75"
370,Sănătate - Medicamente OTC,Clafen crema 10 mg/g 40g N1(Antibiotice) Diclofenac,"Antibiotice SA, SC",Romania,"50,84"
371,Sănătate - Medicamente OTC,Clafen supp.100mg N3x2 (Antibiotice) Diclofenac,"Antibiotice SA, SC",Romania,"16,22"
